school_id,page_url,page_load_time_ms,page_width,page_height,NDOM_nodes,NDOM_height,page_template,page_menu_or,page_ungrouped_multim,metric,task1,task2,task3,task4,task5,task6,task7,task8
CBSL00201A,https://www.liceopagano.edu.it,516,1604,848,1,0,9.0,2.0,6.0,2.9,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
RGTD03002X,https://www.itcbesta.edu.it,1278,1587,2441,162,7,6.0,1.0,8.0,3.7,1.37,2.1,2.75,6.5,2.1,5.6,3.83,6.5
CSPS07301E,https://www.iismarconiguarasci.edu.it/,1006,1587,2533,348,3,3.0,3.0,10.0,4.0,1.3,1.65,3.07,3.3,1.92,0.3,6.5,2.51
RERA014014,https://iiscastelnovonemonti.edu.it/,1251,1587,4499,427,7,5.0,1.0,4.0,4.4,3.13,2.7,3.14,3.38,6.5,3.13,4.33,2.69
BSRC028018,https://sraffa.edu.it/,1825,1587,6168,303,6,8.0,1.0,18.0,3.6,2.6,1.86,2.59,2.98,6.5,3.31,2.96,1.86
AGPS00101A,https://www.liceocanicatti.edu.it,1041,1587,3909,156,5,9.0,3.0,23.0,3.5,2.86,2.36,2.25,6.5,2.84,6.5,2.9,2.28
PIPS04000G,https://www.liceofilippobuonarroti.it,1921,2100,2985,448,9,6.0,1.0,4.0,3.5,3.08,6.5,3.12,3.87,3.81,6.5,6.5,3.36
GERC004014,https://www.ECG-GENOVA.edu.IT,2813,1587,4121,211,7,8.0,1.0,10.0,3.2,3.25,2.46,3.24,3.7,6.5,6.5,6.83,2.46
BORI024024,https://www.malpighi-crevalcore.it,1974,1587,4091,213,7,8.0,1.0,2.0,3.5,3.5,3.05,3.5,3.82,6.5,6.5,5.42,3.05
BARH05801Q,https://www.iissmorotrani.edu.it,2092,1587,4335,223,7,8.0,1.0,2.0,3.6,3.11,2.46,3.1,3.5,6.5,6.5,6.5,2.46
BRPS030007,https://www.liceoribezzo.edu.it,3999,1587,6209,266,7,8.0,1.0,2.0,3.0,3.11,2.46,3.1,3.5,6.5,6.5,9.47,2.46
AVRI021013,https://www.iissrinaldodaquino.it,1273,1587,4141,351,7,5.0,1.0,3.0,4.2,3.1,2.79,3.1,3.31,6.5,9.88,4.84,2.79
PTRC010007,https://www.isteinaudi.edu.it/luigieinaudi/index.php,2139,1587,9970,659,11,1.0,1.0,3.0,3.4,3.47,2.27,2.94,3.55,3.36,3.33,7.0,3.43
VATF00901C,http://www.superiorisesto.edu.it/web/index.php/it/old/120-MISC/221-redirect-vecchio-sito?,1386,1587,1458,143,9,9.0,1.0,0.0,4.0,4.44,2.14,6.5,6.5,6.5,6.5,6.5,3.21
LETF00301P,https://www.qubodisco.it/,2738,1587,4080,211,4,9.0,0.0,0.0,-1.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
CNPC007015,https://www.iisgovonealba.it/,4175,1587,6811,275,7,8.0,1.0,16.0,3.2,3.11,2.46,3.1,3.49,6.5,6.5,9.57,2.46
RERI090008,https://www.galvaniiodi.it,1604,1587,3785,352,7,5.0,1.0,3.0,4.3,3.1,2.79,3.1,3.31,6.5,9.16,4.87,2.79
BAPS06201N,https://www.istitutoromanazzi.it/,3195,1587,4112,366,7,5.0,1.0,3.0,4.3,3.1,2.79,3.1,3.3,6.5,9.87,4.97,2.79
SRTF00901L,https://www.2superioreaugusta.edu.it,3524,1587,5235,451,5,9.0,3.0,20.0,3.0,1.06,6.5,6.5,2.66,7.88,6.5,8.13,0.9
